[ 2016-03-01T09:20:58+08:00 ] /index.php/Admin/Authority//Public/Images/content_bg.gif | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2016-03-01T09:20:58+08:00 ] /index.php/Admin/Authority//Public/Images/content_bg.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-03-01T09:20:58+08:00 ] /index.php/Admin/Authority//Public/Images/content_bg.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-03-01T09:20:58+08:00 ] /index.php/Admin/Authority//Public/Images/content_bg.gif | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2016-03-01T09:20:58+08:00 ] /index.php/Admin/Authority//Public/Images/content_bg.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-03-01T09:20:58+08:00 ] /index.php/Admin/Authority//Public/Images/content_bg.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-03-01T09:20:58+08:00 ] /index.php/Admin/Authority//Public/Images/content_bg.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-03-01T09:20:58+08:00 ] /index.php/Admin/Authority//Public/Images/content_bg.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-03-01T11:30:55+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ route_check ] --START--
[ 2016-03-01T11:30:55+08:00 ] /index.php/Admin/Authority/add | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-03-01T11:30:55+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-03-01T11:30:55+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ app_begin ] --START--
[ 2016-03-01T11:30:55+08:00 ] /index.php/Admin/Authority/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-03-01T11:30:55+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-03-01T11:30:55+08:00 ] /index.php/Admin/Authority/add | SQL: SHOW COLUMNS FROM `authority` [ RunTime:0.009001s ]
[ 2016-03-01T11:30:55+08:00 ] /index.php/Admin/Authority/add | SQL: SELECT * FROM `authority`  [ RunTime:0.000000s ]
[ 2016-03-01T11:32:04+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ route_check ] --START--
[ 2016-03-01T11:32:04+08:00 ] /index.php/Admin/Authority/add | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-03-01T11:32:04+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-03-01T11:32:04+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ app_begin ] --START--
[ 2016-03-01T11:32:04+08:00 ] /index.php/Admin/Authority/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-03-01T11:32:04+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-03-01T11:32:04+08:00 ] /index.php/Admin/Authority/add | SQL: SHOW COLUMNS FROM `authority` [ RunTime:0.007001s ]
[ 2016-03-01T11:32:04+08:00 ] /index.php/Admin/Authority/add | SQL: SELECT * FROM `authority`  [ RunTime:0.001000s ]
[ 2016-03-01T11:32:15+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ route_check ] --START--
[ 2016-03-01T11:32:15+08:00 ] /index.php/Admin/Authority/add | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
