[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --START--
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --START--
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:28+08:00 ] /index.php/Admin/User/verify/0.7468260515015572 | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:28+08:00 ] /index.php/Admin/User/verify/0.7468260515015572 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:28+08:00 ] /index.php/Admin/User/verify/0.7468260515015572 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:28+08:00 ] /index.php/Admin/User/verify/0.7468260515015572 | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:28+08:00 ] /index.php/Admin/User/verify/0.7468260515015572 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:28+08:00 ] /index.php/Admin/User/verify/0.7468260515015572 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:32+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:32+08:00 ] /index.php/Admin/User/login | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:32+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:32+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --START--
