[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --START--
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --START--
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --START--
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --START--
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.014001s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014001s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --START--
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --START--
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ route_check ] --START--
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ app_begin ] --START--
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:15:48+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --START--
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --START--
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008000s ]
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | SQL: SELECT * FROM `user` WHERE username='songjiang' LIMIT 1   [ RunTime:0.000000s ]
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | SQL: SHOW COLUMNS FROM `role` [ RunTime:0.007001s ]
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | SQL: SELECT `author` FROM `role` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.016001s ]
[ 2016-03-03T09:16:07+08:00 ] /index.php/Admin/User/login | SQL: SHOW COLUMNS FROM `authority` [ RunTime:0.008000s ]
